ListingId	UpdateOnDate	Address	NewPrice
1318124108711	01/03/2023	8-haines-street-curtin-canberra	$920 per week
1318129550811	01/04/2023	no-street-name-provided-o-connor-canberra	$455 per week
1318092666711	02/05/2023	no-street-name-provided-franklin-canberra	By Negotiation
1318092666711	02/05/2023	no-street-name-provided-franklin-canberra	By Negotiation
1318083564711	04/05/2023	19-7-watling-place-weston-canberra	$800 per week
1318153722611	04/05/2023	63-rivett-street-hackett-canberra	$700 per week
1318083564711	04/05/2023	19-7-watling-place-weston-canberra	$800 per week
1318153722611	04/05/2023	63-rivett-street-hackett-canberra	$700 per week
1318153742611	09/05/2023	304-38-oakden-street-greenway-canberra	$570 per week
1318153742611	09/05/2023	304-38-oakden-street-greenway-canberra	$570 per week
1318158152611	11/05/2023	finn-street-o-connor-canberra	$630 per week
1318158152611	11/05/2023	finn-street-o-connor-canberra	$630 per week
1318144566311	12/05/2023	5-padbury-close-downer-canberra	$550 per week
1318144566311	12/05/2023	5-padbury-close-downer-canberra	$550 per week
1318115296111	13/01/2023	9-kalianna-street-harrison-canberra	$700-$720 per week
1318147965311	15/05/2023	42-39-eastlake-parade-kingston-canberra	$850-$900 per week
1318154694711	15/05/2023	18-127-madigan-street-hackett-canberra	$370 per week
1318147965311	15/05/2023	42-39-eastlake-parade-kingston-canberra	$850-$900 per week
1318154694711	15/05/2023	18-127-madigan-street-hackett-canberra	$370 per week
1318140941311	16/05/2023	19-7-state-circle-forrest-canberra	$700 per week
1318149441711	16/05/2023	1-50-investigator-street-red-hill-canberra	$570 per week
1318154772011	16/05/2023	86-9-irving-street-phillip-canberra	$600 pw
1318155422611	16/05/2023	6-devlin-street-gungahlin-canberra	$600 per week
1318156050111	16/05/2023	7-10-randell-street-dickson-canberra	$650 per week
1318140941311	16/05/2023	19-7-state-circle-forrest-canberra	$700 per week
1318149441711	16/05/2023	1-50-investigator-street-red-hill-canberra	$570 per week
1318154772011	16/05/2023	86-9-irving-street-phillip-canberra	$600 pw
1318155422611	16/05/2023	6-devlin-street-gungahlin-canberra	$600 per week
1318156050111	16/05/2023	7-10-randell-street-dickson-canberra	$650 per week
1318156661711	17/05/2023	24-28-ringrose-crescent-isaacs-canberra	$595 per week
1318157046211	17/05/2023	12b-40-launceston-street-lyons-canberra	$450 per week
1318157135811	17/05/2023	4a-stephens-place-garran-canberra	$880 per week
1318156661711	17/05/2023	24-28-ringrose-crescent-isaacs-canberra	$595 per week
1318157046211	17/05/2023	12b-40-launceston-street-lyons-canberra	$450 per week
1318157135811	17/05/2023	4a-stephens-place-garran-canberra	$880 per week
1318142091011	18/05/2023	22-mayne-st-chifley-canberra	$700 per week
1318160071811	18/05/2023	43-carron-street-page-canberra	$650  per week
1318142091011	18/05/2023	22-mayne-st-chifley-canberra	$700 per week
1318160071811	18/05/2023	43-carron-street-page-canberra	$650  per week
1318052805811	19/05/2023	1a-83-cooyong-street-reid-canberra	$590 per week
