id	type	DescriptionTitle	PriceLabel	ListingDate	ReListingDate	Address	Suburb	State	PostCode	Property.lat	Property.lon	PropertyType	Agency.Id	Agency.Type	Agency.Name	Agent.Name	Beds	Baths	Cars	EER	PlotSize	Features
183354023	RENTAL_RESIDENTIAL	Character Filled Executive Residence	$2,200 per week	2026-01-12 12:00:00		2 Hayes Crescent	Griffith	ACT	2603	-35.3273154945231	149.128436598342	HOUSE	3498	Agent	Berkely Residential	Bill Lyristakis	4.0	2	3	1.5	1307.0	[]
183632330	RENTAL_RESIDENTIAL	PERFECT RESIDANCE FOR AN AMBASSODER - AVAILABLE NOW	$2,200 per week	2026-01-12 14:00:00		8 Keyar Street	O'Malley	ACT	2606	-35.3496893731624	149.115092810541	HOUSE	634772	Agent	Red Brick Properties	Nalin Ratnaike	7.0	4	2	3.0	1089.0	['AIR_CONDITIONING_REVERSE_CYCLE', 'ATRIUM', 'BROADBAND', 'DINING_ROOM', 'DISHWASHER', 'ENTRANCE_HALL', 'FAMILY_ROOM', 'FORMAL_LOUNGE_ROOM', 'INTERCOM', 'POWDER_ROOM', 'RUMPUS_ROOM']
183637631	RENTAL_RESIDENTIAL	Brand New 4-Bedroom Home in Googong	$875 per week	2026-02-04 10:00:00		110 Edward Drive	Googong	NSW	2620	-35.4282924838848	149.221582021853	HOUSE	563089	Agent	Town Residential	Ajay Kumar	4.0	3	2	6.0	513.0	[]
183688988	RENTAL_RESIDENTIAL	Expansive Executive Residence for Rent	$2,000 per week	2026-01-12 14:00:00		23 Timbarra Crescent	O'Malley	ACT	2606	-35.3472074967851	149.111340157505	HOUSE	634772	Agent	Red Brick Properties	Nalin Ratnaike	6.0	4	3	5.0	2021.0	['AIR_CONDITIONING_REVERSE_CYCLE', 'BREAKFAST_ROOM', 'BROADBAND', 'DINING_ROOM', 'ENTRANCE_HALL', 'FAMILY_ROOM', 'FORMAL_LOUNGE_ROOM', 'INTERCOM']
183711025	RENTAL_RESIDENTIAL	Grand Family Residence with Luxury Inclusions + Self-Contained Flat	Enquire for price	2026-02-02 16:00:00		11 Cobbadah Street	O'Malley	ACT	2606	-35.3588247627081	149.104228567256	HOUSE	699513	Agent	Illustrated Properties	Fay Alizai	7.0	7	6	3.0	2402.0	['AIR_CONDITIONING_REVERSE_CYCLE', 'ALARM', 'BROADBAND', 'CIRCULAR_DRIVEWAY', 'DINING_ROOM', 'DISHWASHER', 'DOUBLE_GLAZED_WINDOWS', 'ENTRANCE_HALL', 'FAMILY_ROOM', 'FENCING', 'FORMAL_LOUNGE_ROOM', 'GYM', 'HEATING_IN_SLAB', 'OUTDOOR_KITCHEN', 'POWDER_ROOM', 'RUMPUS_ROOM', 'SAUNA', 'SELF_CONTAINED_FLAT', 'SPRINKLERS', 'STUDY', 'WALK_IN_ROBE', 'WASH_CLOSET']
183742251	RENTAL_RESIDENTIAL	Charming Cottage Nestled Amid Tall Trees and Picturesque Gardens	$1,800 per week	2026-01-05 14:00:00		84 Arthur Circle	Forrest	ACT	2603	-35.3192742961224	149.122174051372	HOUSE	572389	Agent	Belle Property Canberra	Gemma Drake	5.0	2	3	2.0	967.0	['ALLOCATED_CAR_SPACE', 'DISHWASHER', 'OUTDOOR_ENTERTAINING_AREA']
183751013	RENTAL_RESIDENTIAL	Spacious 3 Bedroom home	$580 per week	2026-02-05 12:00:00		121 Sternberg Crescent	Wanniassa	ACT	2903	-35.4023717707589	149.092282939317	HOUSE	135415	Agent	Ray White Queanbeyan/Jerrabomberra	Ray White Rentals	3.0	1	2		976.0	[]
183774622	RENTAL_RESIDENTIAL	1/2 Manity Street, Ngunnawal	$645 per week	2026-01-17 20:00:00		1/2 Manity Street	Ngunnawal	ACT	2913	-35.1720605	149.107547	TOWNHOUSE	1026634	Agent	Raine & Horne Gungahlin	Nikki Maxwell	3.0	2	2			['ALLOCATED_CAR_SPACE']
183790318	RENTAL_RESIDENTIAL	Large Family Home Situated in Fadden	$760 per week	2026-01-19 08:00:00		22 Bertram Street	Fadden	ACT	2904	-35.4041784130145	149.113460944836	HOUSE	634772	Agent	Red Brick Properties	Nalin Ratnaike	4.0	2	2		825.0	[]
183811569	RENTAL_RESIDENTIAL	Country Living!	$750 per week	2026-01-05 08:00:20		144 Ridgeway Road	The Ridgeway	NSW	2620	-35.3346747565608	149.256241463749	HOUSE	682863	Agent	Hayman Partners	Bailey Wilson	3.0	2	3		18960.0	[]
